category,tenor_years,bank,grr,spread,avg_lending_rate,average_apr,as_of,max_fees_total,fee_count,basis,source
sme,5,GCB Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,FBNBank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,National Investment Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,First Atlantic Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Guaranty Trust Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,First National Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Absa Bank Ghana Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Universal Merchant Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Consolidated Bank Ghana Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Societe General Ghana PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,GCB Bank Limited,29.31,1.09,30.4,28.3,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Absa Bank Ghana Limited,29.31,0.85,30.16,30.16,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,30.58,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Universal Merchant Bank Limited,29.31,1.04,30.35,32.35,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
